StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q5,Q4,Q7,Q19,Q19_5_TEXT,Q9,Q9_5_TEXT,Q6,Q18,Q13,Q15,Q11,Q23,Q12,Q14,Q17,Q24,Q8,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q1,Q21,Q31,Q33,Q32,Q37,Q38,Q39,Q34
2022-04-18 06:06:01,2022-04-18 06:08:52,IP Address,68.204.203.77,100,171,True,2022-04-18 06:08:53,R_2rR4PpNxOtJAXTP,,,,,28.5274,-81.6012,anonymous,EN,1,I was 22 and searched mostly locally as at that time the internet was not that prevellant,working class,2,I did not approach or discuss with my mother for any of the above functions,,I did not approach or discuss with my father for any of the above functions,,Sibling(s),No,Close,Less often,working class,High School,Close,Weekly,No,High School,working class,Connection to other individuals,,,,,,,,18-24,High School,Asian,Male,No,working class,Sibling(s),,Event/time of my first significant job search experience
2022-04-18 06:02:20,2022-04-18 06:12:09,IP Address,68.204.208.53,100,589,True,2022-04-18 06:12:09,R_1OrzY38FOa4Yf3l,,,,,28.5981,-81.3515,anonymous,EN,1,I was the Marketing Director for a large property management company. I had 15 employees and a three million dollar budget.,working class,6,I did not approach or discuss with my mother for any of the above functions,,I did not approach or discuss with my father for any of the above functions,,"Sibling(s),Friend(s)/acquaintance(s) first met through personal friend",No,Less than close,Monthly,middle class,High School,Less than close,Monthly,No,Master's Degree,middle class,Did not reach out to them for these reasons,,,,,,Information or technical guidance regarding job or job search process,,25-34,Bachelor's Degree,White,Female,No,middle class,Friend(s)/acquaintance(s) first met through personal friend,,Event/time of my first significant job search experience
2022-04-18 06:09:34,2022-04-18 06:13:30,IP Address,72.192.178.157,100,236,True,2022-04-18 06:13:31,R_SAvMQq8R5qSlcJP,,,,,32.7398,-117.027,anonymous,EN,1,"It was for an aquarium tech position, it was when I first got into caretaking and installation of reef aquariums for a local company.",lower class,2,I did not approach or discuss with my mother for any of the above functions,,I did not approach or discuss with my father for any of the above functions,,"Personal friend(s)/acquaintance(s) (that you met independently),Friend(s)/acquaintance(s) first met through personal friend",No,Especially close,Weekly,middle class,High School,Especially close,Weekly,No,Bachelor's Degree,middle class,,,"Information or technical guidance regarding job or job search process,Direct job referral",,,,"Information or technical guidance regarding job or job search process,Direct job referral",,18-24,High School,White,Male,No,middle class,Personal friend(s)/acquaintance(s) (that you met independently),,Event/time of my first significant job search experience
2022-04-18 06:11:04,2022-04-18 06:14:46,IP Address,73.138.158.129,100,222,True,2022-04-18 06:14:46,R_PSO76Q7IDt6fi93,,,,,25.7588,-80.1963,anonymous,EN,1,Cashier then Shift Manager at a gas station & convenience store.,upper class,2,I did not approach or discuss with my mother for any of the above functions,,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.)",,Personal friend(s)/acquaintance(s) (that you met independently),No,Distant,Less often,middle class,Trade School,Close,Daily,No,Master's Degree,upper class,,,"Information or technical guidance regarding job or job search process,Direct job referral",,,,,,18-24,High School,Prefer not to say,Male,No,working class,Personal friend(s)/acquaintance(s) (that you met independently),,Event/time of my first significant job search experience
2022-04-18 06:11:10,2022-04-18 06:15:38,IP Address,217.138.208.150,100,268,True,2022-04-18 06:15:39,R_1LjqPrH1BZA7HCr,,,,,40.7157,-74,anonymous,EN,0.8999999761581421,My first job was to be a School Instructor. I provide necessary information for those who needs it.,middle class,4,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.)",,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.)",,"Relative(s),Friend(s)/acquaintance(s) first met through sibling",No,Especially close,Daily,working class,High School,Close,Daily,No,Bachelor's Degree,working class,,Information or technical guidance regarding job or job search process,,,Direct job referral,,,,25-34,Bachelor's Degree,Black or African American,Male,No,middle class,Friend(s)/acquaintance(s) first met through sibling,,Event/time of my first significant job search experience
2022-04-18 06:13:57,2022-04-18 06:16:56,IP Address,24.14.158.72,100,178,True,2022-04-18 06:16:56,R_2D8HhQ1Asg33gQ1,,,,,42.0364,-88.324,anonymous,EN,0.800000011920929,marketing,middle class,3,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.)",,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.)",,Relative(s),Yes,Close,Daily,middle class,Master's Degree,Especially close,Weekly,Yes,Master's Degree,working class,,Connection to other individuals,,,,,,,35-44,Master's Degree,White,Male,No,middle class,Relative(s),,Current time of my life
2022-04-18 06:10:57,2022-04-18 06:16:57,IP Address,68.230.210.78,100,359,True,2022-04-18 06:16:57,R_1C3LtUh5YO4L7Nx,,,,,36.7969,-76.1797,anonymous,EN,0.8999999761581421,"My first experience was as an intern for the sports department of my local newspaper. I did copy editing - editing copy and writing headlines for the daily events of the day. I also had the opportunity to do some sportswriting, as I would cover high school sports and also keep up with local college stars who were excelling in college at the time. Overall, it was a great experience for me as I gained confidence and contacts.",lower class,10,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.)",,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.),Connection to others (e.g. you asked your father to connect you to his friends/acquaintances so that you could speak to them for information or job opportunities/referrals)",,"Sibling(s),Relative(s),Personal friend(s)/acquaintance(s) (that you met independently)",No,Especially close,Weekly,middle class,Master's Degree,Less than close,Weekly,No,Bachelor's Degree,middle class,Information or technical guidance regarding job or job search process,Information or technical guidance regarding job or job search process,Information or technical guidance regarding job or job search process,,,,,,18-24,Bachelor's Degree,Black or African American,Male,No,working class,Mother,,Event/time of my first significant job search experience
2022-04-18 06:11:26,2022-04-18 06:17:01,IP Address,67.249.211.56,100,334,True,2022-04-18 06:17:01,R_1nTTbGl9ZAwsHQQ,,,,,43.2213,-78.3855,anonymous,EN,0.8999999761581421,"My first significant job was, working in accounting at corporate office, for a giant retail store.  I processed accounts payable invoices and discrepancies.  I also tracked and managed inventory levels, within our warehouse and retail stores.",working class,3,I did not approach or discuss with my mother for any of the above functions,,I did not approach or discuss with my father for any of the above functions,,Personal friend(s)/acquaintance(s) (that you met independently),No,Distant,Daily,working class,High School,Distant,Less often,No,Elementary School,working class,,,"Information or technical guidance regarding job or job search process,Direct job referral",,,,,,18-24,High School,White,Female,No,working class,Personal friend(s)/acquaintance(s) (that you met independently),,Event/time of my first significant job search experience
2022-04-18 06:17:41,2022-04-18 06:21:25,IP Address,24.233.108.39,100,224,True,2022-04-18 06:21:25,R_3JngKGABmwvz0LH,,,,,43.2874,-71.3352,anonymous,EN,1,"Landscaping, mostly lugging materials and working material",working class,5,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.),Direct job referral (e.g. your mother submitted you as a candidate to the job directly or your mother hired you for your first significant job)",,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.),Direct job referral (e.g. your father submitted you as a candidate to the job directly or your father hired you for your first significant job)",,"Friend(s)/acquaintance(s) first met through relative,Friend(s)/acquaintance(s) first met through personal friend",No,Close,Daily,working class,High School,Close,Daily,No,Bachelor's Degree,working class,,,,,,"Information or technical guidance regarding job or job search process,Direct job referral","Information or technical guidance regarding job or job search process,Direct job referral,Connection to other individuals",,18-24,High School,White,Male,No,working class,Mother,,Event/time of my first significant job search experience
2022-04-18 06:16:51,2022-04-18 06:21:31,IP Address,73.39.0.78,100,280,True,2022-04-18 06:21:32,R_2zeTDrm00PCY7Bi,,,,,39.3046,-76.6412,anonymous,EN,0.8999999761581421,"My very first job as a teenager, was significant. It meant more freedom, freedom to be out as late as I want or needed to be, freedom of mobility, some finical freedom from my parents., freedom to dress how I wanted and socialize with new people as well.",middle class,3,I did not approach or discuss with my mother for any of the above functions,,I did not approach or discuss with my father for any of the above functions,,Personal friend(s)/acquaintance(s) (that you met independently),No,Less than close,Daily,middle class,High School,Less than close,Daily,Yes,High School,middle class,,,Direct job referral,,,,,,18-24,High School,Black or African American,Male,No,middle class,Personal friend(s)/acquaintance(s) (that you met independently),,Event/time of my first significant job search experience
2022-04-18 06:17:05,2022-04-18 06:21:34,IP Address,45.87.62.96,100,268,True,2022-04-18 06:21:34,R_8CFwDVW3n7EXMIh,,,,,32.8137,-96.8704,anonymous,EN,1,"You first need to know yourself. ",middle class,45,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.),Direct job referral (e.g. your mother submitted you as a candidate to the job directly or your mother hired you for your first significant job),Connection to others (e.g. you asked your mother to connect you to her friends/acquaintances so that you could speak to them for information or job opportunities/referrals)",,"Direct job referral (e.g. your father submitted you as a candidate to the job directly or your father hired you for your first significant job),Connection to others (e.g. you asked your father to connect you to his friends/acquaintances so that you could speak to them for information or job opportunities/referrals)",,"Sibling(s),Relative(s),Personal friend(s)/acquaintance(s) (that you met independently),Friend(s)/acquaintance(s) first met through parent",Yes,Close,Daily,middle class,High School,Close,Weekly,Yes,Bachelor's Degree,middle class,Direct job referral,Connection to other individuals,Connection to other individuals,Direct job referral,,,,,25-34,Bachelor's Degree,White,Male,Yes,middle class,Mother,,Event/time of my first significant job search experience
2022-04-18 06:10:17,2022-04-18 06:25:27,IP Address,69.127.161.171,100,910,True,2022-04-18 06:25:27,R_2Y4dC2tuViTqxOk,,,,,40.8703,-73.8525,anonymous,EN,1,I was a collections agent for a company that sells fire suppression systems. My responsibilities were to call clients and collect payments due on their monthly bills. I  helped develop payment plans and also negotiated debt payments with clients.,working class,4,I did not approach or discuss with my mother for any of the above functions,,I did not approach or discuss with my father for any of the above functions,,"Sibling(s),Personal friend(s)/acquaintance(s) (that you met independently)",No,Less than close,Daily,middle class,Master's Degree,Distant,Less often,cannot answer,High School,lower class,Direct job referral,,Information or technical guidance regarding job or job search process,,,,,,18-24,High School,White,Female,No,working class,Personal friend(s)/acquaintance(s) (that you met independently),,Current time of my life
2022-04-18 06:16:27,2022-04-18 06:25:53,IP Address,208.207.181.203,100,565,True,2022-04-18 06:25:53,R_UnI8Ne0E8quTVzX,,,,,40.5978,-74.0001,anonymous,EN,1,my first Significant job was health care. it was first experience. maintaining a peoples health its related with hospital and most of struggles have them. it was memorable work.,middle class,4,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.),Connection to others (e.g. you asked your mother to connect you to her friends/acquaintances so that you could speak to them for information or job opportunities/referrals)",,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.),Connection to others (e.g. you asked your father to connect you to his friends/acquaintances so that you could speak to them for information or job opportunities/referrals)",,Personal friend(s)/acquaintance(s) (that you met independently),cannot answer,Especially close,Daily,middle class,High School,Close,Daily,Yes,Bachelor's Degree,middle class,,,"Direct job referral,Connection to other individuals",,,,,,18-24,Bachelor's Degree,White,Male,No,middle class,Mother,,Event/time of my first significant job search experience
2022-04-18 06:19:32,2022-04-18 06:26:03,IP Address,98.46.106.125,100,390,True,2022-04-18 06:26:03,R_40HC7lTqgKjPOZr,,,,,41.85,-87.7165,anonymous,EN,0.8999999761581421,"I was a cashier at Taco Bell. I also had to work the drive thru. My responsibilities included working the lobby, working the drive thru, cleaning the lobby, and making sure everything was clean and orderly. The search for this job took me about a month. I was almost about to give up, until I got the call for this job.",lower class,2,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.)",,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.)",,I did not speak with anyone above,Yes,Especially close,Daily,lower class,High School,Especially close,Daily,Yes,High School,lower class,,,,,,,,,18-24,High School,White,Male,Yes,lower class,,Mother,Event/time of my first significant job search experience
2022-04-18 06:22:38,2022-04-18 06:26:08,IP Address,184.90.48.135,100,209,True,2022-04-18 06:26:08,R_2ZQag52UQ4BlpP3,,,,,29.2866,-81.0869,anonymous,EN,0.8999999761581421,"I worked at a car wash. I went from vacuuming out cars, to washing them, and finally to fine detailing.",middle class,4,"Direct job referral (e.g. your mother submitted you as a candidate to the job directly or your mother hired you for your first significant job),Connection to others (e.g. you asked your mother to connect you to her friends/acquaintances so that you could speak to them for information or job opportunities/referrals)",,I did not approach or discuss with my father for any of the above functions,,Friend(s)/acquaintance(s) first met through parent,No,Distant,Daily,middle class,High School,Less than close,Daily,No,High School,upper class,,,,Connection to other individuals,,,,,18-24,High School,White,Male,No,working class,Friend(s)/acquaintance(s) first met through parent,,Event/time of my first significant job search experience
2022-04-18 06:23:12,2022-04-18 06:27:47,IP Address,73.214.34.193,100,275,True,2022-04-18 06:27:48,R_6hVmYHEhuzIqtix,,,,,40.0778,-80.9788,anonymous,EN,0.8999999761581421,"cashier, checking out orders",lower class,2,I did not approach or discuss with my mother for any of the above functions,,I did not approach or discuss with my father for any of the above functions,,I did not speak with anyone above,No,Close,Daily,lower class,High School,Distant,Less often,cannot answer,Bachelor's Degree,cannot answer,,,,,,,,,18-24,High School,White,Male,No,lower class,,Mother,Event/time of my first significant job search experience
2022-04-18 06:22:51,2022-04-18 06:29:02,IP Address,184.170.241.107,100,371,True,2022-04-18 06:29:02,R_cRQLaurmEixT8u5,,,,,33.4413,-112.0421,anonymous,EN,0.800000011920929,I work as a sales representative.,working class,4,I did not approach or discuss with my mother for any of the above functions,,I did not approach or discuss with my father for any of the above functions,,Sibling(s),No,Close,Weekly,middle class,Bachelor's Degree,Close,Monthly,No,Bachelor's Degree,middle class,Information or technical guidance regarding job or job search process,,,,,,,,18-24,High School,White,Male,No,working class,Sibling(s),,Event/time of my first significant job search experience
2022-04-18 06:27:12,2022-04-18 06:32:25,IP Address,38.111.180.18,100,313,True,2022-04-18 06:32:26,R_2VvVOI5Nqr0Cxal,,,,,39.9508,-82.9329,anonymous,EN,0.8999999761581421,"I guess my first 'real' job  was being hired to work in IT support in a large law firm. I was responsible for day-to-day desktop and technical support. Longer term duties included asset management and remote deployment, working with vendors on new and existing software products and operating/maintaining A/V equipment for video conferences and client presentations.",middle class,3,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.)",,I did not approach or discuss with my father for any of the above functions,,"Personal friend(s)/acquaintance(s) (that you met independently),Friend(s)/acquaintance(s) first met through personal friend",No,Close,Monthly,working class,High School,Distant,Less often,No,High School,working class,,,Information or technical guidance regarding job or job search process,,,,Information or technical guidance regarding job or job search process,,25-34,High School,White,Male,No,middle class,Personal friend(s)/acquaintance(s) (that you met independently),,Event/time of my first significant job search experience
2022-04-18 06:29:25,2022-04-18 06:35:32,IP Address,73.84.237.216,100,366,True,2022-04-18 06:35:32,R_3e39UEezGBpVqgK,,,,,25.7738,-80.3584,anonymous,EN,1,"My first significant job was when i was a supervisor at a call center where i had to manage a team of agents and provide them with feedback and monitor their performance ",lower class,3,Direct job referral (e.g. your mother submitted you as a candidate to the job directly or your mother hired you for your first significant job),,I did not approach or discuss with my father for any of the above functions,,Personal friend(s)/acquaintance(s) (that you met independently),No,Close,Weekly,working class,High School,Distant,Less often,No,High School,working class,,,"Information or technical guidance regarding job or job search process,Connection to other individuals",,,,,,18-24,High School,White,Male,No,middle class,Personal friend(s)/acquaintance(s) (that you met independently),,Event/time of my first significant job search experience
2022-04-18 06:37:06,2022-04-18 06:39:53,IP Address,170.39.186.70,100,166,True,2022-04-18 06:39:53,R_2wmKcL72DpBJpus,,,,,39.018,-77.539,anonymous,EN,1,"Accomplishes department objectives by managing staff; planning and evaluating department activities. Maintains staff by recruiting, selecting, orienting, and training employees. Ensures a safe, secure, and legal work environment. Develops personal growth opportunities.",middle class,5,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.),Direct job referral (e.g. your mother submitted you as a candidate to the job directly or your mother hired you for your first significant job)",,"Direct job referral (e.g. your father submitted you as a candidate to the job directly or your father hired you for your first significant job),Connection to others (e.g. you asked your father to connect you to his friends/acquaintances so that you could speak to them for information or job opportunities/referrals)",,"Sibling(s),Relative(s)",Yes,Close,Weekly,working class,Bachelor's Degree,Close,Weekly,Yes,Bachelor's Degree,middle class,Direct job referral,Connection to other individuals,,,,,,,18-24,Bachelor's Degree,White,Male,No,middle class,Sibling(s),,Event/time of my first significant job search experience
