StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q5,Q4,Q7,Q19,Q19_5_TEXT,Q9,Q9_5_TEXT,Q6,Q18,Q13,Q15,Q11,Q23,Q12,Q14,Q17,Q24,Q8,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q1,Q21,Q31,Q33,Q32,Q37,Q38,Q39,Q34
4/18/22 6:13,4/18/22 6:16,,,,,anonymous,EN,0.800000012,marketing,middle class,3,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.)",,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.)",,Relative(s),Yes,Close,Daily,middle class,Master's Degree,Especially close,Weekly,Yes,Master's Degree,working class,,Connection to other individuals,,,,,,,35-44,Master's Degree,White,Male,No,middle class,Relative(s),,Current time of my life
4/18/22 6:10,4/18/22 6:16,,,,,anonymous,EN,0.899999976,"My first experience was as an intern for the sports department of my local newspaper. I did copy editing - editing copy and writing headlines for the daily events of the day. I also had the opportunity to do some sportswriting, as I would cover high school sports and also keep up with local college stars who were excelling in college at the time. Overall, it was a great experience for me as I gained confidence and contacts.",lower class,10,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.)",,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.),Connection to others (e.g. you asked your father to connect you to his friends/acquaintances so that you could speak to them for information or job opportunities/referrals)",,"Sibling(s),Relative(s),Personal friend(s)/acquaintance(s) (that you met independently)",No,Especially close,Weekly,middle class,Master's Degree,Less than close,Weekly,No,Bachelor's Degree,middle class,Information or technical guidance regarding job or job search process,Information or technical guidance regarding job or job search process,Information or technical guidance regarding job or job search process,,,,,,18-24,Bachelor's Degree,Black or African American,Male,No,working class,Mother,,Event/time of my first significant job search experience
4/18/22 6:11,4/18/22 6:17,,,,,anonymous,EN,0.899999976,"My first significant job was, working in accounting at corporate office, for a giant retail store.  I processed accounts payable invoices and discrepancies.  I also tracked and managed inventory levels, within our warehouse and retail stores.",working class,3,I did not approach or discuss with my mother for any of the above functions,,I did not approach or discuss with my father for any of the above functions,,Personal friend(s)/acquaintance(s) (that you met independently),No,Distant,Daily,working class,High School,Distant,Less often,No,Elementary School,working class,,,"Information or technical guidance regarding job or job search process,Direct job referral",,,,,,18-24,High School,White,Female,No,working class,Personal friend(s)/acquaintance(s) (that you met independently),,Event/time of my first significant job search experience
4/18/22 6:17,4/18/22 6:21,,,,,anonymous,EN,1,"Landscaping, mostly lugging materials and working material",working class,5,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.),Direct job referral (e.g. your mother submitted you as a candidate to the job directly or your mother hired you for your first significant job)",,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.),Direct job referral (e.g. your father submitted you as a candidate to the job directly or your father hired you for your first significant job)",,"Friend(s)/acquaintance(s) first met through relative,Friend(s)/acquaintance(s) first met through personal friend",No,Close,Daily,working class,High School,Close,Daily,No,Bachelor's Degree,working class,,,,,,"Information or technical guidance regarding job or job search process,Direct job referral","Information or technical guidance regarding job or job search process,Direct job referral,Connection to other individuals",,18-24,High School,White,Male,No,working class,Mother,,Event/time of my first significant job search experience
4/18/22 6:16,4/18/22 6:21,,,,,anonymous,EN,0.899999976,"My very first job as a teenager, was significant. It meant more freedom, freedom to be out as late as I want or needed to be, freedom of mobility, some finical freedom from my parents., freedom to dress how I wanted and socialize with new people as well.",middle class,3,I did not approach or discuss with my mother for any of the above functions,,I did not approach or discuss with my father for any of the above functions,,Personal friend(s)/acquaintance(s) (that you met independently),No,Less than close,Daily,middle class,High School,Less than close,Daily,Yes,High School,middle class,,,Direct job referral,,,,,,18-24,High School,Black or African American,Male,No,middle class,Personal friend(s)/acquaintance(s) (that you met independently),,Event/time of my first significant job search experience
4/18/22 6:17,4/18/22 6:21,,,,,anonymous,EN,1,You first need to know yourself. ,middle class,45,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.),Direct job referral (e.g. your mother submitted you as a candidate to the job directly or your mother hired you for your first significant job),Connection to others (e.g. you asked your mother to connect you to her friends/acquaintances so that you could speak to them for information or job opportunities/referrals)",,"Direct job referral (e.g. your father submitted you as a candidate to the job directly or your father hired you for your first significant job),Connection to others (e.g. you asked your father to connect you to his friends/acquaintances so that you could speak to them for information or job opportunities/referrals)",,"Sibling(s),Relative(s),Personal friend(s)/acquaintance(s) (that you met independently),Friend(s)/acquaintance(s) first met through parent",Yes,Close,Daily,middle class,High School,Close,Weekly,Yes,Bachelor's Degree,middle class,Direct job referral,Connection to other individuals,Connection to other individuals,Direct job referral,,,,,25-34,Bachelor's Degree,White,Male,Yes,middle class,Mother,,Event/time of my first significant job search experience
4/18/22 6:10,4/18/22 6:25,,,,,anonymous,EN,1,I was a collections agent for a company that sells fire suppression systems. My responsibilities were to call clients and collect payments due on their monthly bills. I  helped develop payment plans and also negotiated debt payments with clients.,working class,4,I did not approach or discuss with my mother for any of the above functions,,I did not approach or discuss with my father for any of the above functions,,"Sibling(s),Personal friend(s)/acquaintance(s) (that you met independently)",No,Less than close,Daily,middle class,Master's Degree,Distant,Less often,cannot answer,High School,lower class,Direct job referral,,Information or technical guidance regarding job or job search process,,,,,,18-24,High School,White,Female,No,working class,Personal friend(s)/acquaintance(s) (that you met independently),,Current time of my life
4/18/22 6:16,4/18/22 6:25,,,,,anonymous,EN,1,my first Significant job was health care. it was first experience. maintaining a peoples health its related with hospital and most of struggles have them. it was memorable work.,middle class,4,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.),Connection to others (e.g. you asked your mother to connect you to her friends/acquaintances so that you could speak to them for information or job opportunities/referrals)",,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.),Connection to others (e.g. you asked your father to connect you to his friends/acquaintances so that you could speak to them for information or job opportunities/referrals)",,Personal friend(s)/acquaintance(s) (that you met independently),cannot answer,Especially close,Daily,middle class,High School,Close,Daily,Yes,Bachelor's Degree,middle class,,,"Direct job referral,Connection to other individuals",,,,,,18-24,Bachelor's Degree,White,Male,No,middle class,Mother,,Event/time of my first significant job search experience
4/18/22 6:19,4/18/22 6:26,,,,,anonymous,EN,0.899999976,"I was a cashier at Taco Bell. I also had to work the drive thru. My responsibilities included working the lobby, working the drive thru, cleaning the lobby, and making sure everything was clean and orderly. The search for this job took me about a month. I was almost about to give up, until I got the call for this job.",lower class,2,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.)",,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.)",,I did not speak with anyone above,Yes,Especially close,Daily,lower class,High School,Especially close,Daily,Yes,High School,lower class,,,,,,,,,18-24,High School,White,Male,Yes,lower class,,Mother,Event/time of my first significant job search experience
4/18/22 6:22,4/18/22 6:26,,,,,anonymous,EN,0.899999976,"I worked at a car wash. I went from vacuuming out cars, to washing them, and finally to fine detailing.",middle class,4,"Direct job referral (e.g. your mother submitted you as a candidate to the job directly or your mother hired you for your first significant job),Connection to others (e.g. you asked your mother to connect you to her friends/acquaintances so that you could speak to them for information or job opportunities/referrals)",,I did not approach or discuss with my father for any of the above functions,,Friend(s)/acquaintance(s) first met through parent,No,Distant,Daily,middle class,High School,Less than close,Daily,No,High School,upper class,,,,Connection to other individuals,,,,,18-24,High School,White,Male,No,working class,Friend(s)/acquaintance(s) first met through parent,,Event/time of my first significant job search experience
4/18/22 6:23,4/18/22 6:27,,,,,anonymous,EN,0.899999976,"cashier, checking out orders",lower class,2,I did not approach or discuss with my mother for any of the above functions,,I did not approach or discuss with my father for any of the above functions,,I did not speak with anyone above,No,Close,Daily,lower class,High School,Distant,Less often,cannot answer,Bachelor's Degree,cannot answer,,,,,,,,,18-24,High School,White,Male,No,lower class,,Mother,Event/time of my first significant job search experience
4/18/22 6:22,4/18/22 6:29,,,,,anonymous,EN,0.800000012,I work as a sales representative.,working class,4,I did not approach or discuss with my mother for any of the above functions,,I did not approach or discuss with my father for any of the above functions,,Sibling(s),No,Close,Weekly,middle class,Bachelor's Degree,Close,Monthly,No,Bachelor's Degree,middle class,Information or technical guidance regarding job or job search process,,,,,,,,18-24,High School,White,Male,No,working class,Sibling(s),,Event/time of my first significant job search experience
4/18/22 6:27,4/18/22 6:32,,,,,anonymous,EN,0.899999976,"I guess my first 'real' job  was being hired to work in IT support in a large law firm. I was responsible for day-to-day desktop and technical support. Longer term duties included asset management and remote deployment, working with vendors on new and existing software products and operating/maintaining A/V equipment for video conferences and client presentations.",middle class,3,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.)",,I did not approach or discuss with my father for any of the above functions,,"Personal friend(s)/acquaintance(s) (that you met independently),Friend(s)/acquaintance(s) first met through personal friend",No,Close,Monthly,working class,High School,Distant,Less often,No,High School,working class,,,Information or technical guidance regarding job or job search process,,,,Information or technical guidance regarding job or job search process,,25-34,High School,White,Male,No,middle class,Personal friend(s)/acquaintance(s) (that you met independently),,Event/time of my first significant job search experience
4/18/22 6:29,4/18/22 6:35,,,,,anonymous,EN,1,My first significant job was when i was a supervisor at a call center where i had to manage a team of agents and provide them with feedback and monitor their performance ,lower class,3,Direct job referral (e.g. your mother submitted you as a candidate to the job directly or your mother hired you for your first significant job),,I did not approach or discuss with my father for any of the above functions,,Personal friend(s)/acquaintance(s) (that you met independently),No,Close,Weekly,working class,High School,Distant,Less often,No,High School,working class,,,"Information or technical guidance regarding job or job search process,Connection to other individuals",,,,,,18-24,High School,White,Male,No,middle class,Personal friend(s)/acquaintance(s) (that you met independently),,Event/time of my first significant job search experience
4/18/22 6:37,4/18/22 6:39,,,,,anonymous,EN,1,"Accomplishes department objectives by managing staff; planning and evaluating department activities. Maintains staff by recruiting, selecting, orienting, and training employees. Ensures a safe, secure, and legal work environment. Develops personal growth opportunities.",middle class,5,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.),Direct job referral (e.g. your mother submitted you as a candidate to the job directly or your mother hired you for your first significant job)",,"Direct job referral (e.g. your father submitted you as a candidate to the job directly or your father hired you for your first significant job),Connection to others (e.g. you asked your father to connect you to his friends/acquaintances so that you could speak to them for information or job opportunities/referrals)",,"Sibling(s),Relative(s)",Yes,Close,Weekly,working class,Bachelor's Degree,Close,Weekly,Yes,Bachelor's Degree,middle class,Direct job referral,Connection to other individuals,,,,,,,18-24,Bachelor's Degree,White,Male,No,middle class,Sibling(s),,Event/time of my first significant job search experience
4/18/22 6:15,4/18/22 6:41,,,,,anonymous,EN,1,My first job was regarding marketting,middle class,20,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.),Direct job referral (e.g. your mother submitted you as a candidate to the job directly or your mother hired you for your first significant job),Connection to others (e.g. you asked your mother to connect you to her friends/acquaintances so that you could speak to them for information or job opportunities/referrals)",,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.),Direct job referral (e.g. your father submitted you as a candidate to the job directly or your father hired you for your first significant job)",,"Personal friend(s)/acquaintance(s) (that you met independently),Friend(s)/acquaintance(s) first met through parent,Friend(s)/acquaintance(s) first met through sibling",Yes,Close,Daily,middle class,Bachelor's Degree,Close,Daily,Yes,Bachelor's Degree,middle class,,,Connection to other individuals,Direct job referral,Connection to other individuals,,,,25-34,Bachelor's Degree,White,Female,No,middle class,Father,,Current time of my life
4/18/22 6:38,4/18/22 6:42,,,,,anonymous,EN,1,I was a pharmacy technician just out of college. I didn’t have any experience or know anything about the job so it was all learning on the fly.,working class,3,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.)",,Connection to others (e.g. you asked your father to connect you to his friends/acquaintances so that you could speak to them for information or job opportunities/referrals),,Sibling(s),No,Close,Daily,working class,High School,Especially close,Daily,No,High School,working class,Connection to other individuals,,,,,,,,18-24,Bachelor's Degree,White,Male,No,working class,Father,,Event/time of my first significant job search experience
4/18/22 6:35,4/18/22 6:42,,,,,anonymous,EN,1,"In my early-20s while still in school, I took a job at a psychiatric hospital as a Nursing Assistant, eventually a Group Leader, later entrusted with my own program as a Senior Group Leader.",middle class,5,I did not approach or discuss with my mother for any of the above functions,,I did not approach or discuss with my father for any of the above functions,,Personal friend(s)/acquaintance(s) (that you met independently),No,Close,Daily,middle class,Bachelor's Degree,Less than close,Daily,No,Bachelor's Degree,middle class,,,Direct job referral,,,,,,18-24,High School,White,Male,No,working class,Personal friend(s)/acquaintance(s) (that you met independently),,Event/time of my first significant job search experience
4/18/22 6:40,4/18/22 6:43,,,,,anonymous,EN,1,"heir success or failure at the company is, in part, in your hands. And along with learning a new job, you also have to teach them theirs. With so much sudden responsibility, you might feel overwhelmed.",working class,5,Direct job referral (e.g. your mother submitted you as a candidate to the job directly or your mother hired you for your first significant job),,Direct job referral (e.g. your father submitted you as a candidate to the job directly or your father hired you for your first significant job),,"Sibling(s),Relative(s)",Yes,Close,Weekly,working class,Bachelor's Degree,Close,Monthly,Yes,Bachelor's Degree,working class,Connection to other individuals,Direct job referral,,,,,,,18-24,Bachelor's Degree,White,Male,No,working class,Relative(s),,Event/time of my first significant job search experience
4/18/22 6:09,4/18/22 6:47,,,,,anonymous,EN,1,My first significant job was working as a rep in the money center of walmart. It was my first major job and I was getting paid a lot of money.,working class,2,I did not approach or discuss with my mother for any of the above functions,,I did not approach or discuss with my father for any of the above functions,,Sibling(s),No,Close,Daily,working class,Master's Degree,Close,Daily,cannot answer,High School,middle class,Did not reach out to them for these reasons,,,,,,,,18-24,High School,Black or African American,Female,No,middle class,Sibling(s),,Event/time of my first significant job search experience
4/18/22 6:45,4/18/22 6:48,,,,,anonymous,EN,1,"Manager - The success or failure at the company is, in part, in your hands. And along with learning a new job, you also have to teach them theirs. With so much sudden responsibility, you might feel overwhelmed.",middle class,5,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.),Direct job referral (e.g. your mother submitted you as a candidate to the job directly or your mother hired you for your first significant job)",,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.),Direct job referral (e.g. your father submitted you as a candidate to the job directly or your father hired you for your first significant job)",,"Friend(s)/acquaintance(s) first met through parent,Friend(s)/acquaintance(s) first met through sibling",Yes,Close,Daily,middle class,Bachelor's Degree,Close,Daily,Yes,Bachelor's Degree,middle class,,,,Direct job referral,Direct job referral,,,,25-34,Bachelor's Degree,White,Male,No,middle class,Friend(s)/acquaintance(s) first met through sibling,,Event/time of my first significant job search experience
4/18/22 6:44,4/18/22 6:49,,,,,anonymous,EN,0.899999976,My first significant job was as a store clerk. I was responsible for maintaining a store isle and assisting customers with product related inquiries. I was also responsible for maintaining inventory and coordinating my activities with other team members.,middle class,2,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.)",,I did not approach or discuss with my father for any of the above functions,,Personal friend(s)/acquaintance(s) (that you met independently),No,Close,Daily,middle class,Bachelor's Degree,Distant,Less often,No,High School,middle class,,,Information or technical guidance regarding job or job search process,,,,,,18-24,High School,Black or African American,Male,No,middle class,Personal friend(s)/acquaintance(s) (that you met independently),,Event/time of my first significant job search experience
4/18/22 6:49,4/18/22 6:53,,,,,anonymous,EN,1,I was a mental health worker.  I assisted with oversight and care of mental health patients. ,working class,5,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.)",,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.)",,Personal friend(s)/acquaintance(s) (that you met independently),Yes,Especially close,Daily,working class,Bachelor's Degree,Especially close,Daily,No,High School,working class,,,Information or technical guidance regarding job or job search process,,,,,,18-24,Trade School,White,Male,No,working class,Mother,,Event/time of my first significant job search experience
4/18/22 6:43,4/18/22 6:55,,,,,anonymous,EN,1,"Trainee-Engineer. First job was significant to me. I was given exposure to different departments, short period for every department. It gave me an exciting exposure what was practically going on in different departments. I was told to notice whatever was going throughout the company so that I will be able to understand when I will be given the authority. ",middle class,15,Connection to others (e.g. you asked your mother to connect you to her friends/acquaintances so that you could speak to them for information or job opportunities/referrals),,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.),Connection to others (e.g. you asked your father to connect you to his friends/acquaintances so that you could speak to them for information or job opportunities/referrals)",,"Sibling(s),Relative(s)",No,Especially close,Weekly,middle class,Bachelor's Degree,Especially close,Weekly,No,Bachelor's Degree,middle class,Information or technical guidance regarding job or job search process,"Information or technical guidance regarding job or job search process,Connection to other individuals",,,,,,,18-24,Bachelor's Degree,Asian,Female,No,middle class,Relative(s),,Event/time of my first significant job search experience
4/18/22 7:04,4/18/22 7:07,,,,,anonymous,EN,0.800000012,This is very very good,working class,5,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.)",,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.)",,Sibling(s),Yes,Especially close,Daily,working class,Master's Degree,Especially close,Daily,Yes,Master's Degree,working class,Information or technical guidance regarding job or job search process,,,,,,,,25-34,Master's Degree,Black or African American,Female,No,working class,Mother,,Event/time of my first significant job search experience
